Ranking,Gestora,Score,VVs,Camas,Camas/VV,Islas,Municipios,Complejos,Concentracion,Score Complejos,Lat,Lon,Direccion Ejemplo,Map URL
128,"Las Americas",33,6,34,5.7,"Tenerife, Fuerteventura","Arona, La Oliva, Adeje","",70,0,28.142623,-16.637999,"Noelia Afonso Cabrera 8  D",http://localhost:3000/installer/prospecting?lat=28.142623&lon=-16.637999&zoom=15
129,"El Marinero",33,6,17,2.8,"Tenerife, El Hierro, Lanzarote","Arona, El Pinar De El Hierro, Tias","",70,0,28.386896,-15.496691,"Calle Minerva 16 E  1 207",http://localhost:3000/installer/prospecting?lat=28.386896&lon=-15.496691&zoom=15
130,"Casa Lily",33,9,37,4.1,"Fuerteventura, Lanzarote","La Oliva, Antigua, Tias, San Bartolome","",55,0,28.778668,-13.755083,"C/ Gavias Nuevas, N 12 35650    , Lajares, La Oliva, Fuerteventura",http://localhost:3000/installer/prospecting?lat=28.778668&lon=-13.755083&zoom=15
131,"Casa Ola",33,6,19,3.2,"Fuerteventura, Lanzarote","La Oliva, Teguise, Tinajo","",70,0,28.95765,-13.58408,"Pedro Y Guy Vandaele 25   90b",http://localhost:3000/installer/prospecting?lat=28.957650&lon=-13.584081&zoom=15
132,"Ocean View Apartment",32,5,15,3,"Tenerife","Adeje, Santiago Del Teide, Arona","",70,0,28.16549,-16.794578,"Calle Paises Bajos 1 Es: 1   4 4",http://localhost:3000/installer/prospecting?lat=28.165490&lon=-16.794578&zoom=15
133,"Vistamar",32,32,158,4.9,"Tenerife, Gran Canaria, La Palma, La Gomera, Fuerteventura, Lanzarote","Santa Ursula, Guimar, Arico, La Matanza De Acentejo, Agaete, Puerto De La Cruz, Santiago Del Teide, Arona, Candelaria, El Rosario, Los Realejos, Tazacorte, Valle Gran Rey, Mogan, La Oliva, Antigua, Puerto Del Rosario, Haria, Arrecife, Yaiza","",0,0,28.330673,-16.209181,"C/ Don Quijote, Urb. La Mancha, Vda. 20",http://localhost:3000/installer/prospecting?lat=28.330673&lon=-16.209181&zoom=15
134,"Casa Carmen",32,35,133,3.8,"Tenerife, Gran Canaria, La Palma, La Gomera, Fuerteventura, Lanzarote","Los Realejos, Mogan, San Bartolome De Tirajana, Santa Lucia De Tirajana, Aguimes, Arona, Adeje, Santa Cruz Tenerife, San Cristobal De La Laguna, Los Llanos De Aridane, Valle Gran Rey, La Oliva, Antigua, Pájara, Tuineje, Arrecife, Yaiza, Tias, San Bartolome, Teguise, Santiago Del Teide, Guimar, Haria","",0,0,28.348002,-14.931539,"Calle Playa Del Socorro, Nº 1-2",http://localhost:3000/installer/prospecting?lat=28.348002&lon=-14.931539&zoom=15
135,"Bahia Azul",32,5,22,4.4,"Tenerife, Fuerteventura","Arico, Arona, Antigua","",70,0,28.188346,-15.855168,"C/ Los Prismas Pt 29 Bahia Azul Agave",http://localhost:3000/installer/prospecting?lat=28.188346&lon=-15.855168&zoom=15
136,"Casa Bonita",32,33,146,4.4,"Tenerife, _U, Gran Canaria, La Palma, La Gomera, Fuerteventura, Lanzarote","Santiago Del Teide, Yaiza, Las Palmas De Gran Canaria, Mogan, Garafia, Valle Gran Rey, Telde, San Bartolome De Tirajana, Antigua, La Oliva, Pájara, Haria, Teguise, Tias","",0,0,28.533146,-14.752698,"Calle Agustin Leon Gonzalez Nº4,",http://localhost:3000/installer/prospecting?lat=28.533146&lon=-14.752698&zoom=15
137,"Casa Bruno",32,5,19,3.8,"Tenerife, La Palma, Lanzarote","La Matanza De Acentejo, Los Llanos De Aridane, Tias","",70,0,28.766902,-15.068717,"C/ Acentejo, Urb. Jadin De La Paz, Nº 48",http://localhost:3000/installer/prospecting?lat=28.766902&lon=-15.068717&zoom=15
